1477010443050000,R,74.9596
1477010443100000,L,1.07234
1477010443150000,R,3.03662
1477010443200000,L,1.08816
1477010443250000,R,5.80307
1477010443300000,L,0.861836
1477010443350000,R,6.58164
1477010443400000,L,0.143725
1477010443450000,R,0.2994
1477010443500000,L,1.0905
1477010443550000,R,1.764
1477010443600000,L,2.69429
1477010443650000,R,2.93063
1477010443700000,L,0.14103
1477010443750000,R,1.60594
1477010443800000,L,11.195
1477010443850000,R,2.37034
1477010443900000,L,2.78488
1477010443950000,R,1.53615
1477010444000000,L,1.61289
1477010444050000,R,4.76522
1477010444100000,L,2.74107
1477010444150000,R,0.538005
1477010444200000,L,0.445629
1477010444250000,R,3.49156
1477010444300000,L,2.46582
1477010444350000,R,4.33538
1477010444400000,L,0.925896
1477010444450000,R,2.43985
1477010444500000,L,0.462988
1477010444550000,R,6.31853
1477010444600000,L,0.612703
1477010444650000,R,6.69096
1477010444700000,L,0.708266
1477010444750000,R,4.3005
1477010444800000,L,2.81481
1477010444850000,R,4.70837
1477010444900000,L,1.1585
1477010444950000,R,4.09651
1477010445000000,L,1.34526
1477010445050000,R,1.91769
1477010445100000,L,1.96009
1477010445150000,R,0.917393
1477010445200000,L,0.36884
1477010445250000,R,1.36557
1477010445300000,L,0.737775
1477010445350000,R,0.962582
1477010445400000,L,3.30605
1477010445450000,R,3.45558
1477010445500000,L,2.5877
1477010445550000,R,11.0248
1477010445600000,L,0.861892
1477010445650000,R,0.233429
1477010445700000,L,0.686433
1477010445750000,R,1.4438
1477010445800000,L,2.18148
1477010445850000,R,3.83977
1477010445900000,L,1.2569
1477010445950000,R,2.61496
1477010446000000,L,0.754005
1477010446050000,R,0.942509
1477010446100000,L,0.196359
1477010446150000,R,1.82154
1477010446200000,L,0.451116
1477010446250000,R,0.623834
1477010446300000,L,0.495281
1477010446350000,R,4.66909
1477010446400000,L,0.675383
1477010446450000,R,1.72799
1477010446500000,L,0.21315
1477010446550000,R,3.24409
1477010446600000,L,1.72294
1477010446650000,R,1.13613
1477010446700000,L,0.712209
1477010446750000,R,0.694182
1477010446800000,L,0.60367
1477010446850000,R,0.270181
1477010446900000,L,2.07224
1477010446950000,R,0.635824
1477010447000000,L,4.00287
1477010447050000,R,4.07469
1477010447100000,L,1.20833
1477010447150000,R,0.282847
1477010447200000,L,1.40677
1477010447250000,R,2.27839
1477010447300000,L,3.91062
1477010447350000,R,0.571743
1477010447400000,L,4.16644
1477010447450000,R,1.01211
1477010447500000,L,2.98167
1477010447550000,R,2.7358
1477010447600000,L,0.737086
1477010447650000,R,7.13477
1477010447700000,L,0.912237
